fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1974,050,National Defense,051,Department of Defense-Military,118952,269359,77864,34385.883894,28.907360863,28.907146225,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,050,National Defense,053,Atomic energy defense activities,118952,269359,1486,656.239385,0.551684196,0.5516801,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,050,National Defense,054,Defense-related activities,118952,269359,-3,-1.324844,-0.001113764,-0.001113755,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,150,International Affairs,151,International development and humanitarian assistance,118952,269359,2430,1073.123624,0.90214845,0.902141751,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,150,International Affairs,152,International security assistance,118952,269359,1824,805.50514,0.677168219,0.677163191,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,150,International Affairs,153,Conduct of foreign affairs,118952,269359,609,268.943328,0.226093994,0.226092315,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,150,International Affairs,154,Foreign information and exchange activities,118952,269359,320,141.316691,0.118801442,0.11880056,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,150,International Affairs,155,International financial programs,118952,269359,527,232.730926,0.195651125,0.195649672,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,250,"General Science, Space, and Technology",251,General science and basic research,118952,269359,1017,449.122109,0.377565833,0.377563029,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",118952,269359,2963,1308.504238,1.100027102,1.100018934,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,270,Energy,271,Energy supply,118952,269359,969,427.924606,0.359745616,0.359742945,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,270,Energy,272,Energy conservation,118952,269359,3,1.324844,0.001113764,0.001113755,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,270,Energy,276,"Energy information, policy, and regulation",118952,269359,331,146.174452,0.122885242,0.122884329,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,300,Natural Resources and Environment,301,Water resources,118952,269359,2200,971.552252,0.816759913,0.816753849,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,300,Natural Resources and Environment,302,Conservation and land management,118952,269359,243,107.312362,0.090214845,0.090214175,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,300,Natural Resources and Environment,303,Recreational resources,118952,269359,551,243.329678,0.204561233,0.204559714,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,300,Natural Resources and Environment,304,Pollution control and abatement,118952,269359,2035,898.685833,0.75550292,0.75549731,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,300,Natural Resources and Environment,306,Other natural resources,118952,269359,668,294.998593,0.24799801,0.247996169,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,350,Agriculture,351,Farm income stabilization,118952,269359,1458,643.874174,0.54128907,0.541285051,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,350,Agriculture,352,Agricultural research and services,118952,269359,736,325.02839,0.273243316,0.273241288,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,370,Commerce and Housing Credit,371,Mortgage credit,118952,269359,2119,935.781465,0.786688298,0.786682457,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,370,Commerce and Housing Credit,372,Postal service,118952,269359,2471,1091.229825,0.917369885,0.917363073,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,370,Commerce and Housing Credit,373,Deposit insurance,118952,269359,-611,-269.826557,-0.226836503,-0.226834819,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,370,Commerce and Housing Credit,376,Other advancement of commerce,118952,269359,726,320.612243,0.269530771,0.26952877,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,400,Transportation,401,Ground transportation,118952,269359,5583,2465.534647,2.072713908,2.072698518,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,400,Transportation,402,Air transportation,118952,269359,2216,978.618087,0.822699986,0.822693877,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,400,Transportation,403,Water transportation,118952,269359,1316,581.164893,0.48857093,0.488567302,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,400,Transportation,407,Other transportation,118952,269359,57,25.172036,0.021161507,0.02116135,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,450,Community and Regional Development,451,Community development,118952,269359,2108,930.923703,0.782604499,0.782598688,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,450,Community and Regional Development,452,Area and regional development,118952,269359,1339,591.32203,0.497109784,0.497106093,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,450,Community and Regional Development,453,Disaster relief and insurance,118952,269359,782,345.342664,0.290321024,0.290318868,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",118952,269359,3573,1577.889181,1.32649235,1.326482501,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,500,"Education, Training, Employment, and Social Services",502,Higher education,118952,269359,1451,640.782872,0.538690288,0.538686289,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,118952,269359,621,274.242704,0.230549048,0.230547336,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,500,"Education, Training, Employment, and Social Services",504,Training and employment,118952,269359,2910,1285.098661,1.080350613,1.080342591,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,500,"Education, Training, Employment, and Social Services",505,Other labor services,118952,269359,219,96.713611,0.081304737,0.081304133,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,500,"Education, Training, Employment, and Social Services",506,Social services,118952,269359,3682,1626.025178,1.366959091,1.366948942,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,550,Health,551,Health care services,118952,269359,7707,3403.524185,2.861258479,2.861237234,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,550,Health,552,Health research and training,118952,269359,2497,1102.711806,0.927022502,0.927015619,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,550,Health,554,Consumer and occupational health and safety,118952,269359,529,233.614155,0.196393634,0.196392175,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,570,Medicare,571,Medicare,118952,269359,9639,4256.723709,3.578522184,3.578495614,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,600,Income Security,601,General retirement and disability insurance (excluding social security),118952,269359,2750,1214.440315,1.020949892,1.020942311,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,600,Income Security,602,Federal employee retirement and disability,118952,269359,10769,4755.748275,3.998039776,3.998010091,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,600,Income Security,603,Unemployment compensation,118952,269359,6065,2678.392913,2.25165858,2.251641861,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,600,Income Security,604,Housing assistance,118952,269359,1826,806.388369,0.677910728,0.677905695,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,600,Income Security,605,Food and nutrition assistance,118952,269359,4433,1957.677788,1.645771226,1.645759006,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,600,Income Security,609,Other income security,118952,269359,7856,3469.32477,2.9165754,2.916553744,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,650,Social Security,651,Social security,118952,269359,55867,24671.686216,20.740875492,20.740721491,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,700,Veterans Benefits and Services,701,Income security for veterans,118952,269359,6809,3006.954221,2.527871932,2.527853163,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",118952,269359,3233,1427.740196,1.200265818,1.200256906,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,118952,269359,3004,1326.610439,1.115248536,1.115240256,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,700,Veterans Benefits and Services,704,Veterans housing,118952,269359,-4,-1.766459,-0.001485018,-0.001485007,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,700,Veterans Benefits and Services,705,Other veterans benefits and services,118952,269359,347,153.240287,0.128825314,0.128824357,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,750,Administration of Justice,751,Federal law enforcement activities,118952,269359,1129,498.582951,0.419146337,0.419143225,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,750,Administration of Justice,752,Federal litigative and judicial activities,118952,269359,426,188.127845,0.15815442,0.158153245,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,750,Administration of Justice,753,Federal correctional activities,118952,269359,179,79.049024,0.066454557,0.066454063,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,750,Administration of Justice,754,Criminal justice assistance,118952,269359,770,340.043288,0.28586597,0.285863847,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,801,Legislative functions,118952,269359,521,230.081238,0.193423598,0.193422162,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,802,Executive direction and management,118952,269359,117,51.668915,0.043436777,0.043436455,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,803,Central fiscal operations,118952,269359,1299,573.657443,0.482259603,0.482256023,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,804,General property and records management,118952,269359,968,427.482991,0.359374362,0.359371694,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,805,Central personnel management,118952,269359,74,32.679485,0.027472833,0.027472629,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,806,General purpose fiscal assistance,118952,269359,6888,3041.841779,2.557201038,2.557182051,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,808,Other general government,118952,269359,363,160.306122,0.134765386,0.134764385,proportional_outlay_share,modeled_not_legal_dedication,actual
1974,800,General Government,809,Deductions for offsetting receipts,118952,269359,-198,-87.439703,-0.073508392,-0.073507846,proportional_outlay_share,modeled_not_legal_dedication,actual
